OrderDate,Quantity
2021-01-11,1170
2021-01-12,1710
2021-01-13,1185
2021-01-14,1250
2021-01-15,1005
2021-01-16,1450
2021-01-17,783
2021-01-18,717
2021-01-19,738
2021-01-20,1044
2021-01-21,729
2021-01-22,1224
2021-01-23,945
2021-01-24,376
2021-01-25,306
2021-01-26,292
2021-01-27,333
2021-01-28,309
2021-01-29,275
2021-01-30,142
2021-01-31,2744
2021-02-01,2392
2021-02-02,2360
2021-02-03,2632
2021-02-04,2832
2021-02-05,2000
2021-02-06,2224
2021-02-07,2052
2021-02-08,2502
2021-02-09,3132
2021-02-10,2430
2021-02-11,1332
2021-02-12,2412
2021-02-13,2430
2021-02-14,382
2021-02-15,355
2021-02-16,268
2021-02-17,248
2021-02-18,340
2021-02-19,304
2021-02-20,198
2021-02-21,348
2021-02-22,538
2021-02-23,484
2021-02-24,566
2021-02-25,604
2021-02-26,600
2021-02-27,342
2021-02-28,516
2021-03-01,696
2021-03-02,1005
2021-03-03,525
2021-03-04,771
2021-03-05,876
2021-03-06,1161
2021-03-07,1090
2021-03-08,1350
2021-03-09,1975
2021-03-10,1165
2021-03-11,650
2021-03-12,1745
2021-03-13,1375
2021-03-14,1076
2021-03-15,1344
2021-03-16,1236
2021-03-17,1100
2021-03-18,1376
2021-03-19,1072
2021-03-20,956
2021-03-21,795
2021-03-22,1023
2021-03-23,759
2021-03-24,741
2021-03-25,1158
2021-03-26,663
2021-03-27,834
2021-03-28,882
2021-03-29,526
2021-03-30,326
2021-03-31,524
2021-04-01,608
2021-04-02,648
2021-04-03,534
2021-04-04,2136
2021-04-05,2322
2021-04-06,900
2021-04-07,1164
2021-04-08,1368
2021-04-09,1836
