OrderDate,Quantity
2021-01-11,1955
2021-01-12,1985
2021-01-13,2400
2021-01-14,2150
2021-01-15,2710
2021-01-16,1555
2021-01-17,1485
2021-01-18,1467
2021-01-19,1494
2021-01-20,1101
2021-01-21,1179
2021-01-22,1155
2021-01-23,1446
2021-01-24,470
2021-01-25,416
2021-01-26,544
2021-01-27,384
2021-01-28,493
2021-01-29,361
2021-01-30,429
2021-01-31,3896
2021-02-01,4440
2021-02-02,3992
2021-02-03,3336
2021-02-04,3448
2021-02-05,3360
2021-02-06,3936
2021-02-07,3366
2021-02-08,4338
2021-02-09,3060
2021-02-10,3645
2021-02-11,4653
2021-02-12,4752
2021-02-13,4977
2021-02-14,281
2021-02-15,445
2021-02-16,526
2021-02-17,517
2021-02-18,281
2021-02-19,388
2021-02-20,547
2021-02-21,1102
2021-02-22,762
2021-02-23,1020
2021-02-24,674
2021-02-25,930
2021-02-26,876
2021-02-27,1062
2021-02-28,1245
2021-03-01,1293
2021-03-02,1272
2021-03-03,1383
2021-03-04,1542
2021-03-05,1155
2021-03-06,1209
2021-03-07,2635
2021-03-08,2400
2021-03-09,1910
2021-03-10,2495
2021-03-11,2345
2021-03-12,2220
2021-03-13,2275
2021-03-14,1660
2021-03-15,2016
2021-03-16,2148
2021-03-17,1652
2021-03-18,1536
2021-03-19,1472
2021-03-20,2180
2021-03-21,1251
2021-03-22,1086
2021-03-23,1617
2021-03-24,1011
2021-03-25,1131
2021-03-26,1173
2021-03-27,1602
2021-03-28,804
2021-03-29,1024
2021-03-30,1012
2021-03-31,692
2021-04-01,1034
2021-04-02,724
2021-04-03,740
2021-04-04,2994
2021-04-05,2166
2021-04-06,2904
2021-04-07,2718
2021-04-08,2412
2021-04-09,3090
