OrderDate,Quantity
2021-01-13,250
2021-01-14,115
2021-01-16,140
2021-01-17,126
2021-01-22,147
2021-01-23,63
2021-01-24,20
2021-01-25,28
2021-01-26,28
2021-01-30,66
2021-01-31,160
2021-02-03,184
2021-02-07,198
2021-02-09,216
2021-02-10,189
2021-02-11,450
2021-02-12,198
2021-02-15,52
2021-02-19,27
2021-02-22,100
2021-02-23,50
2021-02-25,92
2021-02-27,50
2021-02-28,141
2021-03-04,87
2021-03-05,147
2021-03-06,69
2021-03-10,125
2021-03-11,485
2021-03-12,115
2021-03-13,115
2021-03-14,104
2021-03-16,92
2021-03-17,444
2021-03-18,92
2021-03-19,116
2021-03-20,100
2021-03-21,63
2021-03-22,321
2021-03-23,165
2021-03-24,144
2021-03-25,141
2021-03-26,66
2021-03-27,162
2021-03-28,58
2021-03-29,48
2021-03-31,138
2021-04-01,88
2021-04-02,54
2021-04-03,46
2021-04-04,162
2021-04-07,468
2021-04-08,150
