OrderDate,OrderTotal
2021-01-10,600
2021-01-11,1800
2021-01-13,1800
2021-01-14,1000
2021-01-16,1600
2021-01-17,1200
2021-01-18,2200
2021-01-19,600
2021-01-20,1200
2021-01-21,1000
2021-01-22,2200
2021-01-23,2200
2021-01-25,1800
2021-01-26,600
2021-01-27,400
2021-01-28,1800
2021-01-30,1200
2021-01-31,2400
2021-02-04,3000
2021-02-06,2000
2021-02-07,1200
2021-02-09,1800
2021-02-10,400
2021-02-11,1000
2021-02-12,800
2021-02-13,800
2021-02-15,1200
2021-02-16,2200
2021-02-18,800
2021-02-19,600
2021-02-20,1000
2021-02-22,3800
2021-02-24,1200
2021-02-25,600
2021-02-26,2400
2021-02-28,1600
2021-03-01,800
2021-03-02,1400
2021-03-03,1200
2021-03-05,1000
2021-03-06,3200
2021-03-09,1800
2021-03-11,1600
2021-03-12,2000
2021-03-13,800
2021-03-14,800
2021-03-15,1000
2021-03-16,800
2021-03-17,1400
2021-03-18,800
2021-03-20,1400
2021-03-23,2600
2021-03-24,1200
2021-03-26,600
2021-03-27,800
2021-03-28,200
2021-03-29,800
2021-03-30,1000
2021-04-01,400
2021-04-03,1400
2021-04-04,1200
