OrderDate,OrderTotal
2021-01-10,600
2021-01-11,1800
2021-01-13,2200
2021-01-14,1200
2021-01-16,1600
2021-01-17,1200
2021-01-18,1000
2021-01-19,1600
2021-01-20,600
2021-01-21,800
2021-01-22,400
2021-01-23,1800
2021-01-25,2000
2021-01-26,600
2021-01-27,1400
2021-01-28,1800
2021-01-30,800
2021-01-31,2000
2021-02-04,2400
2021-02-06,2200
2021-02-07,200
2021-02-09,1600
2021-02-10,1000
2021-02-11,1000
2021-02-12,1000
2021-02-15,1000
2021-02-16,3200
2021-02-18,1200
2021-02-19,1200
2021-02-20,1000
2021-02-22,2000
2021-02-24,1200
2021-02-25,1400
2021-02-26,1400
2021-02-28,2400
2021-03-01,1000
2021-03-02,1400
2021-03-03,2400
2021-03-05,400
2021-03-06,1600
2021-03-09,1400
2021-03-11,800
2021-03-12,2200
2021-03-13,1000
2021-03-14,1000
2021-03-15,800
2021-03-16,800
2021-03-17,1600
2021-03-18,1800
2021-03-20,1200
2021-03-23,3400
2021-03-24,600
2021-03-26,1000
2021-03-27,800
2021-03-28,1200
2021-03-29,1200
2021-03-30,1000
2021-04-01,400
2021-04-03,1200
2021-04-04,600
