OrderDate,Quantity
2021-01-11,1190
2021-01-12,1355
2021-01-13,1345
2021-01-14,1780
2021-01-15,1125
2021-01-16,1545
2021-01-17,930
2021-01-18,888
2021-01-19,861
2021-01-20,684
2021-01-21,576
2021-01-22,762
2021-01-23,1200
2021-01-24,220
2021-01-25,285
2021-01-26,270
2021-01-27,251
2021-01-28,268
2021-01-29,372
2021-01-30,251
2021-01-31,1744
2021-02-01,2992
2021-02-02,3896
2021-02-03,2688
2021-02-04,1280
2021-02-05,2952
2021-02-06,2160
2021-02-07,2448
2021-02-08,2790
2021-02-09,1845
2021-02-10,4374
2021-02-11,1953
2021-02-12,2916
2021-02-13,3231
2021-02-14,365
2021-02-15,326
2021-02-16,287
2021-02-17,389
2021-02-18,274
2021-02-19,194
2021-02-20,215
2021-02-21,600
2021-02-22,338
2021-02-23,734
2021-02-24,400
2021-02-25,502
2021-02-26,744
2021-02-27,646
2021-02-28,813
2021-03-01,963
2021-03-02,627
2021-03-03,873
2021-03-04,888
2021-03-05,1101
2021-03-06,498
2021-03-07,805
2021-03-08,1320
2021-03-09,1690
2021-03-10,1135
2021-03-11,1670
2021-03-12,1955
2021-03-13,1350
2021-03-14,880
2021-03-15,736
2021-03-16,1444
2021-03-17,1192
2021-03-18,1184
2021-03-19,1100
2021-03-20,980
2021-03-21,879
2021-03-22,792
2021-03-23,564
2021-03-24,1119
2021-03-25,1071
2021-03-26,840
2021-03-27,1035
2021-03-28,584
2021-03-29,648
2021-03-30,622
2021-03-31,520
2021-04-01,794
2021-04-02,752
2021-04-03,562
2021-04-04,1296
2021-04-05,1602
2021-04-06,1650
2021-04-07,2412
2021-04-08,1752
2021-04-09,1266
