OrderDate,Quantity
2021-01-11,2710
2021-01-12,2655
2021-01-13,2000
2021-01-14,2535
2021-01-15,2240
2021-01-16,2470
2021-01-17,1524
2021-01-18,1482
2021-01-19,1077
2021-01-20,1383
2021-01-21,1362
2021-01-22,1488
2021-01-23,1398
2021-01-24,557
2021-01-25,427
2021-01-26,538
2021-01-27,454
2021-01-28,427
2021-01-29,350
2021-01-30,422
2021-01-31,3240
2021-02-01,2720
2021-02-02,2504
2021-02-03,3208
2021-02-04,3832
2021-02-05,3416
2021-02-06,2544
2021-02-07,4446
2021-02-08,3690
2021-02-09,4833
2021-02-10,3015
2021-02-11,3825
2021-02-12,3069
2021-02-13,4194
2021-02-14,428
2021-02-15,488
2021-02-16,375
2021-02-17,469
2021-02-18,560
2021-02-19,524
2021-02-20,531
2021-02-21,854
2021-02-22,1122
2021-02-23,724
2021-02-24,872
2021-02-25,720
2021-02-26,922
2021-02-27,970
2021-02-28,1662
2021-03-01,1209
2021-03-02,1482
2021-03-03,1509
2021-03-04,1383
2021-03-05,1470
2021-03-06,2025
2021-03-07,2380
2021-03-08,2210
2021-03-09,1565
2021-03-10,2160
2021-03-11,2180
2021-03-12,2275
2021-03-13,2215
2021-03-14,1716
2021-03-15,1828
2021-03-16,1188
2021-03-17,1504
2021-03-18,1712
2021-03-19,1992
2021-03-20,2228
2021-03-21,1308
2021-03-22,1227
2021-03-23,1170
2021-03-24,1332
2021-03-25,1011
2021-03-26,1278
2021-03-27,960
2021-03-28,866
2021-03-29,892
2021-03-30,628
2021-03-31,1052
2021-04-01,910
2021-04-02,906
2021-04-03,616
2021-04-04,2718
2021-04-05,3204
2021-04-06,3000
2021-04-07,2202
2021-04-08,2880
2021-04-09,3066
