OrderDate,Quantity
2021-01-11,510
2021-01-12,495
2021-01-13,465
2021-01-14,445
2021-01-15,450
2021-01-16,475
2021-01-17,303
2021-01-18,282
2021-01-19,294
2021-01-20,309
2021-01-21,270
2021-01-22,279
2021-01-23,282
2021-01-24,88
2021-01-25,94
2021-01-26,99
2021-01-27,106
2021-01-28,108
2021-01-29,99
2021-01-30,90
2021-01-31,704
2021-02-01,784
2021-02-02,768
2021-02-03,712
2021-02-04,840
2021-02-05,752
2021-02-06,768
2021-02-07,864
2021-02-08,891
2021-02-09,873
2021-02-10,900
2021-02-11,855
2021-02-12,927
2021-02-13,855
2021-02-14,103
2021-02-15,111
2021-02-16,98
2021-02-17,88
2021-02-18,98
2021-02-19,103
2021-02-20,99
2021-02-21,192
2021-02-22,206
2021-02-23,186
2021-02-24,198
2021-02-25,200
2021-02-26,210
2021-02-27,210
2021-02-28,321
2021-03-01,294
2021-03-02,252
2021-03-03,285
2021-03-04,276
2021-03-05,294
2021-03-06,264
2021-03-07,455
2021-03-08,460
2021-03-09,495
2021-03-10,510
2021-03-11,525
2021-03-12,475
2021-03-13,510
2021-03-14,392
2021-03-15,428
2021-03-16,416
2021-03-17,364
2021-03-18,336
2021-03-19,392
2021-03-20,328
2021-03-21,294
2021-03-22,300
2021-03-23,291
2021-03-24,315
2021-03-25,279
2021-03-26,267
2021-03-27,312
2021-03-28,214
2021-03-29,212
2021-03-30,208
2021-03-31,186
2021-04-01,194
2021-04-02,194
2021-04-03,198
2021-04-04,570
2021-04-05,594
2021-04-06,570
2021-04-07,552
2021-04-08,546
2021-04-09,666
