OrderDate,Quantity
2021-01-12,370
2021-01-13,110
2021-01-18,153
2021-01-20,87
2021-01-24,49
2021-01-26,53
2021-01-28,26
2021-01-29,49
2021-01-30,47
2021-02-02,416
2021-02-06,408
2021-02-07,513
2021-02-11,432
2021-02-12,198
2021-02-13,180
2021-02-17,26
2021-02-18,26
2021-02-19,107
2021-02-21,50
2021-02-23,44
2021-02-24,44
2021-02-25,188
2021-02-26,48
2021-02-27,52
2021-03-06,81
2021-03-07,380
2021-03-09,145
2021-03-10,125
2021-03-11,370
2021-03-13,120
2021-03-14,228
2021-03-16,172
2021-03-18,88
2021-03-19,108
2021-03-20,84
2021-03-23,69
2021-03-24,60
2021-03-25,75
2021-03-27,66
2021-03-28,50
2021-03-31,170
2021-04-02,44
2021-04-03,94
2021-04-05,144
2021-04-06,168
2021-04-08,126
