OrderDate,OrderTotal
2021-01-10,2000
2021-01-11,1000
2021-01-13,1200
2021-01-14,200
2021-01-16,400
2021-01-17,3400
2021-01-19,1200
2021-01-20,2800
2021-01-23,4000
2021-01-25,2000
2021-01-28,1400
2021-01-29,2600
2021-01-31,1000
2021-02-01,2200
2021-02-03,1800
2021-02-04,1800
2021-02-07,1400
2021-02-08,800
2021-02-09,2400
2021-02-10,600
2021-02-12,2200
2021-02-13,1200
2021-02-15,1600
2021-02-16,2600
2021-02-18,1800
2021-02-19,1000
2021-02-20,1400
2021-02-21,800
2021-02-22,1800
2021-02-24,1400
2021-02-27,1000
2021-02-28,1400
2021-03-03,3000
2021-03-05,2200
2021-03-06,2200
2021-03-08,1800
2021-03-09,200
2021-03-11,400
2021-03-12,800
2021-03-13,800
2021-03-14,1800
2021-03-15,3000
2021-03-17,1200
2021-03-18,1000
2021-03-19,1200
2021-03-20,2400
2021-03-21,600
2021-03-23,1400
2021-03-24,1800
2021-03-27,1200
2021-03-28,1000
2021-03-30,1600
2021-04-01,600
2021-04-02,400
2021-04-04,800
