OrderDate,OrderTotal
2021-01-10,1600
2021-01-11,1600
2021-01-13,2000
2021-01-14,1400
2021-01-16,400
2021-01-17,1000
2021-01-19,1400
2021-01-20,3400
2021-01-23,3400
2021-01-25,1800
2021-01-28,800
2021-01-29,3800
2021-01-31,800
2021-02-01,1000
2021-02-03,1600
2021-02-04,1000
2021-02-07,1000
2021-02-08,600
2021-02-09,1600
2021-02-10,400
2021-02-12,1800
2021-02-13,800
2021-02-15,2000
2021-02-16,1200
2021-02-18,600
2021-02-19,800
2021-02-20,400
2021-02-21,1400
2021-02-22,2000
2021-02-24,1600
2021-02-27,800
2021-02-28,2000
2021-03-03,3200
2021-03-05,1800
2021-03-06,2000
2021-03-08,1000
2021-03-09,600
2021-03-11,1200
2021-03-12,1200
2021-03-13,1000
2021-03-14,1600
2021-03-15,1600
2021-03-17,800
2021-03-18,1000
2021-03-19,800
2021-03-20,1200
2021-03-21,1200
2021-03-23,2200
2021-03-24,1400
2021-03-27,200
2021-03-28,600
2021-03-30,1200
2021-04-01,1200
2021-04-02,1200
2021-04-04,1200
