OrderDate,Quantity
2021-01-11,1285
2021-01-12,1505
2021-01-13,1400
2021-01-14,1770
2021-01-15,1465
2021-01-16,1380
2021-01-17,663
2021-01-18,501
2021-01-19,744
2021-01-20,1029
2021-01-21,840
2021-01-22,636
2021-01-23,843
2021-01-24,276
2021-01-25,335
2021-01-26,340
2021-01-27,88
2021-01-28,385
2021-01-29,299
2021-01-30,309
2021-01-31,2904
2021-02-01,1272
2021-02-02,3024
2021-02-03,2664
2021-02-04,4072
2021-02-05,2832
2021-02-06,2952
2021-02-07,2817
2021-02-08,2709
2021-02-09,2214
2021-02-10,2088
2021-02-11,3474
2021-02-12,3357
2021-02-13,1170
2021-02-14,297
2021-02-15,260
2021-02-16,180
2021-02-17,225
2021-02-18,272
2021-02-19,171
2021-02-20,303
2021-02-21,652
2021-02-22,432
2021-02-23,506
2021-02-24,456
2021-02-25,392
2021-02-26,748
2021-02-27,450
2021-02-28,951
2021-03-01,405
2021-03-02,510
2021-03-03,705
2021-03-04,1044
2021-03-05,990
2021-03-06,561
2021-03-07,1450
2021-03-08,890
2021-03-09,945
2021-03-10,965
2021-03-11,730
2021-03-12,1675
2021-03-13,1540
2021-03-14,772
2021-03-15,788
2021-03-16,1392
2021-03-17,1008
2021-03-18,1104
2021-03-19,692
2021-03-20,1352
2021-03-21,870
2021-03-22,663
2021-03-23,633
2021-03-24,981
2021-03-25,642
2021-03-26,621
2021-03-27,867
2021-03-28,732
2021-03-29,510
2021-03-30,530
2021-03-31,762
2021-04-01,544
2021-04-02,802
2021-04-03,470
2021-04-04,2034
2021-04-05,1644
2021-04-06,1356
2021-04-07,1524
2021-04-08,1452
2021-04-09,1752
