OrderDate,Quantity
2021-01-11,2500
2021-01-12,2775
2021-01-13,2300
2021-01-14,2440
2021-01-15,2580
2021-01-16,2035
2021-01-17,1134
2021-01-18,1233
2021-01-19,1149
2021-01-20,1398
2021-01-21,1113
2021-01-22,1086
2021-01-23,1335
2021-01-24,374
2021-01-25,435
2021-01-26,412
2021-01-27,518
2021-01-28,362
2021-01-29,496
2021-01-30,416
2021-01-31,2840
2021-02-01,3752
2021-02-02,3824
2021-02-03,2976
2021-02-04,2432
2021-02-05,3288
2021-02-06,4008
2021-02-07,3474
2021-02-08,3186
2021-02-09,4491
2021-02-10,4023
2021-02-11,3690
2021-02-12,4005
2021-02-13,5193
2021-02-14,362
2021-02-15,392
2021-02-16,402
2021-02-17,410
2021-02-18,366
2021-02-19,497
2021-02-20,491
2021-02-21,792
2021-02-22,702
2021-02-23,762
2021-02-24,746
2021-02-25,1004
2021-02-26,662
2021-02-27,858
2021-02-28,1317
2021-03-01,1473
2021-03-02,1851
2021-03-03,936
2021-03-04,1131
2021-03-05,1326
2021-03-06,1560
2021-03-07,2715
2021-03-08,1830
2021-03-09,2255
2021-03-10,2005
2021-03-11,2345
2021-03-12,2070
2021-03-13,1750
2021-03-14,1924
2021-03-15,2248
2021-03-16,1528
2021-03-17,1708
2021-03-18,1360
2021-03-19,1912
2021-03-20,1856
2021-03-21,1323
2021-03-22,1497
2021-03-23,1272
2021-03-24,1302
2021-03-25,1383
2021-03-26,1179
2021-03-27,1179
2021-03-28,986
2021-03-29,1130
2021-03-30,794
2021-03-31,886
2021-04-01,984
2021-04-02,890
2021-04-03,858
2021-04-04,2340
2021-04-05,2232
2021-04-06,3030
2021-04-07,2706
2021-04-08,2016
2021-04-09,2610
