OrderDate,Quantity
2021-01-11,445
2021-01-12,485
2021-01-13,525
2021-01-14,455
2021-01-15,495
2021-01-16,440
2021-01-17,282
2021-01-18,297
2021-01-19,300
2021-01-20,333
2021-01-21,285
2021-01-22,291
2021-01-23,303
2021-01-24,99
2021-01-25,106
2021-01-26,100
2021-01-27,93
2021-01-28,99
2021-01-29,88
2021-01-30,99
2021-01-31,800
2021-02-01,704
2021-02-02,872
2021-02-03,824
2021-02-04,848
2021-02-05,800
2021-02-06,808
2021-02-07,882
2021-02-08,882
2021-02-09,909
2021-02-10,882
2021-02-11,945
2021-02-12,819
2021-02-13,828
2021-02-14,93
2021-02-15,98
2021-02-16,93
2021-02-17,87
2021-02-18,101
2021-02-19,95
2021-02-20,104
2021-02-21,206
2021-02-22,202
2021-02-23,194
2021-02-24,188
2021-02-25,214
2021-02-26,216
2021-02-27,186
2021-02-28,297
2021-03-01,318
2021-03-02,324
2021-03-03,297
2021-03-04,315
2021-03-05,309
2021-03-06,282
2021-03-07,550
2021-03-08,490
2021-03-09,495
2021-03-10,470
2021-03-11,525
2021-03-12,450
2021-03-13,460
2021-03-14,376
2021-03-15,364
2021-03-16,360
2021-03-17,392
2021-03-18,408
2021-03-19,396
2021-03-20,412
2021-03-21,297
2021-03-22,267
2021-03-23,279
2021-03-24,279
2021-03-25,291
2021-03-26,303
2021-03-27,276
2021-03-28,216
2021-03-29,194
2021-03-30,178
2021-03-31,198
2021-04-01,200
2021-04-02,196
2021-04-03,178
2021-04-04,600
2021-04-05,570
2021-04-06,612
2021-04-07,594
2021-04-08,570
2021-04-09,576
