OrderDate,OrderTotal
2021-01-10,1000
2021-01-11,1400
2021-01-13,1600
2021-01-14,1200
2021-01-16,200
2021-01-17,1200
2021-01-18,1600
2021-01-20,1600
2021-01-21,600
2021-01-22,1000
2021-01-23,1800
2021-01-25,600
2021-01-26,1600
2021-01-28,1400
2021-01-29,600
2021-01-31,800
2021-02-01,1200
2021-02-02,600
2021-02-03,400
2021-02-04,1000
2021-02-05,1400
2021-02-06,600
2021-02-08,600
2021-02-09,1600
2021-02-11,1200
2021-02-12,1600
2021-02-13,600
2021-02-14,600
2021-02-15,1000
2021-02-16,600
2021-02-19,1600
2021-02-20,1000
2021-02-21,1400
2021-02-22,400
2021-02-23,1000
2021-02-24,800
2021-02-25,1200
2021-02-26,200
2021-02-28,2000
2021-03-01,1600
2021-03-03,2000
2021-03-05,600
2021-03-06,1600
2021-03-07,2200
2021-03-09,600
2021-03-11,1200
2021-03-12,1400
2021-03-13,400
2021-03-14,3200
2021-03-17,1600
2021-03-18,1800
2021-03-19,1000
2021-03-20,1000
2021-03-21,600
2021-03-22,1400
2021-03-23,800
2021-03-24,1600
2021-03-25,1000
2021-03-26,200
2021-03-28,1000
2021-03-29,1000
2021-03-31,1000
