OrderDate,OrderTotal
2021-01-10,1000
2021-01-11,2600
2021-01-13,2800
2021-01-14,800
2021-01-16,1800
2021-01-17,1800
2021-01-18,2600
2021-01-20,1000
2021-01-21,1400
2021-01-22,600
2021-01-23,2600
2021-01-25,1200
2021-01-26,2000
2021-01-28,1000
2021-01-29,800
2021-01-31,1800
2021-02-01,1200
2021-02-02,1000
2021-02-03,1000
2021-02-04,600
2021-02-05,2600
2021-02-06,200
2021-02-08,1200
2021-02-09,3000
2021-02-11,400
2021-02-12,2200
2021-02-13,1200
2021-02-14,600
2021-02-15,2800
2021-02-16,600
2021-02-19,2600
2021-02-20,1200
2021-02-21,1600
2021-02-22,1200
2021-02-23,800
2021-02-24,400
2021-02-25,3000
2021-02-26,200
2021-02-28,1800
2021-03-01,1400
2021-03-03,2800
2021-03-05,400
2021-03-06,2600
2021-03-07,2400
2021-03-09,1000
2021-03-11,400
2021-03-12,1200
2021-03-13,1200
2021-03-14,2400
2021-03-15,1200
2021-03-17,2200
2021-03-18,1000
2021-03-19,600
2021-03-20,400
2021-03-21,800
2021-03-22,800
2021-03-23,1200
2021-03-24,2600
2021-03-25,200
2021-03-26,600
2021-03-28,1400
2021-03-29,600
2021-03-31,800
