OrderDate,OrderTotal
2021-01-11,2800
2021-01-12,2200
2021-01-14,1800
2021-01-16,2000
2021-01-17,800
2021-01-18,1400
2021-01-19,2800
2021-01-20,600
2021-01-22,4000
2021-01-23,1400
2021-01-25,1000
2021-01-26,2200
2021-01-27,600
2021-01-28,1800
2021-01-29,1200
2021-01-31,2400
2021-02-01,800
2021-02-04,800
2021-02-05,3000
2021-02-07,1800
2021-02-08,200
2021-02-10,4000
2021-02-13,2600
2021-02-14,600
2021-02-15,800
2021-02-16,1800
2021-02-17,1800
2021-02-18,1200
2021-02-19,1800
2021-02-20,600
2021-02-21,800
2021-02-24,2200
2021-02-25,4000
2021-02-27,1400
2021-02-28,1400
2021-03-01,800
2021-03-02,1400
2021-03-03,1800
2021-03-04,400
2021-03-05,200
2021-03-06,800
2021-03-07,1200
2021-03-08,2200
2021-03-09,2400
2021-03-12,4200
2021-03-14,1400
2021-03-15,1000
2021-03-16,400
2021-03-17,1000
2021-03-18,1600
2021-03-21,1800
2021-03-23,600
2021-03-24,400
2021-03-25,600
2021-03-26,1800
2021-03-28,2000
2021-04-02,2000
2021-04-03,1000
